,Name,Link,Downloaded
0,Chisholm v. Georgia (1793),https://api.case.law/v1/cases/11749797/,True
1,Marbury v. Madison (1803),https://api.case.law/v1/cases/12121622/,True
2,McCulloch v. Maryland (1819),https://api.case.law/v1/cases/4144755/,True
3,Gibbons v. Ogden (1824),https://api.case.law/v1/cases/399031/,True
4,Barron v. City of Baltimore (1833),https://api.case.law/v1/cases/1018008/,True
5,Prigg v. Pennsylvania (1842),https://api.case.law/v1/cases/982934/,True
6,United States v. Dewitt (1869),https://api.case.law/v1/cases/4231890/,True
7,Hepburn v. Griswold (1870),https://api.case.law/v1/cases/3443990/,True
8,Knox v. Lee (1871),https://api.case.law/v1/cases/8254764/,True
9,United States v. E.C. Knight (1895),https://api.case.law/v1/cases/6513937/,True
